question,option_a,option_b,option_c,option_d,answer,explanation,source
"依據《兵役法》規定，役男之起役年齡為幾歲？","18歲","19歲","20歲","22歲","B","依據兵役法，男子年滿18歲之翌年1月1日起役，即19歲之年。","兵役法規"
"新訓中心規定的每日伙食費預算約為多少元？","60元","95元","114元","150元","C","目前國軍常備兵新訓期間伙食費預算約為每日114元。","國軍糧秣補給作業規定"
"攜帶進入營區的智慧型手機必須安裝何種管制軟體？","GPS","MDM","SOS","APK","B","MDM (Mobile Device Management) 用於鎖定手機照相與傳輸功能，確保資安。","國軍資通安全獎懲規定"
"下列何種物品建議自行攜帶，而非依賴公發品？","迷彩服","迷彩膠鞋","內褲","鋼盔","C","公發內褲材質較粗且尺寸不一，建議自備舒適且符合規定之內褲。","新兵入伍準備須知"
"役男若無法參加軍種抽籤，亦無家屬代抽，將由誰代為抽籤？","鄉鎮市區長","抽籤場主持人","警察局長","里長","B","役男與家屬皆未到場時，由抽籤場主持人（通常為兵役主管）代抽。","徵兵規則"
"新訓鑑測項目中，3000公尺徒手跑步的合格標準通常為何？","15分00秒","16分30秒","18分30秒","20分00秒","C","一般19-22歲役男之3000公尺合格標準約為18分30秒。","國軍體能戰技測驗標準"
"新兵入伍後的「懇親會」通常安排在何時？","入伍當天","入伍後約10-14天","入伍一個月後","結訓當天","B","懇親會多安排於入伍後第二週之週末，結束後通常實施懇親假。","新兵入伍訓練實施計畫"
"營區內是否可以使用具備藍牙功能的無線耳機？","可以","不行，屬違禁品","僅睡覺時可","長官同意即可","B","藍牙傳輸具資安風險，故藍牙耳機通常列為違禁品，建議攜帶有線耳機。","國軍營內民用通信器材管理規定"
"兵籍調查的主要目的為何？","確認教育程度與專長","直接決定軍種","確認存款","智力測驗","A","兵籍調查旨在建立役男基本資料、學歷與專長，以利後續徵兵作業。","徵兵規則"
"體格檢查中，扁平足之判定屬於哪一科別？","精神科","牙科","外科/骨科","耳鼻喉科","C","足弓角度測量與扁平足判定屬於外科或骨科之檢查範圍。","體位區分標準"
"新訓期間身體不適，正確處置方式為何？","忍耐","自行服藥","向幹部報告並轉診","請鄰兵刮痧","C","遇身體不適應立即反應，由幹部協助至醫務所或國軍醫院就診。","國軍醫療轉診作業規定"
"下列哪種藥品是建議攜帶的常備藥品？","安眠藥","小護士/肌樂","壯陽藥","減肥藥","B","外用藥膏與肌肉鬆弛劑（肌樂）有助於緩解蚊蟲叮咬與痠痛。","新兵入伍準備須知"
"部隊集合時間若為05:30，建議何時起床準備？","05:30","05:29","05:15","不用睡","C","集合時間為「就定位」時間，建議提早15分鐘起床盥洗與整理內務。","國軍內部管理實務"
"具備特殊專長（如廚師、水電）之役男，應把握何時爭取專長分發？","退伍前","小選（專長甄選）","抽籤當天","兵籍調查","B","新訓期間會有專長甄選（小選），可依證照分發至對應單位。","役男專長甄選作業規定"
"國軍內務要求中，棉被需折疊成何種形狀？","圓筒狀","隨意摺疊","豆腐干","三角形","C","棉被須折疊方正並捏出稜角，俗稱豆腐干。","國軍內務教則"
"入伍當天，役男的頭髮會如何處理？","打薄","剪成平頭(三分)","保留原狀","光頭","D","入伍當天會統一由髮婆推剪至極短（接近光頭）。","國軍儀容規定"
"新式教召（14天）增加了何種訓練課程？","出國考察","戰術行軍與宿營","取消打靶","烹飪課","B","新式教召強調實戰化，增加戰術行軍與野外宿營訓練。","後備軍人教育召集訓練計畫"
"收到徵集令當天若確診法定傳染病，應如何處理？","不去","戴口罩報到","申請延期徵集","請朋友代去","C","遇不可抗力因素（如確診），應檢附證明向公所申請延期徵集。","徵兵規則"
"新訓洗澡時間緊迫，建議使用何種清潔用品？","肥皂","三合一沐浴乳","洗面乳","磨砂膏","B","三合一沐浴乳可同時洗頭、臉、身，大幅節省盥洗時間。","新兵生活小撇步"
"國軍申訴專線號碼為何？","1999","165","1922","1985","D","1985為國防部諮詢與申訴專線。","國軍人員權益保障及申訴處理規定"
"國軍發薪日原則上為每月幾號？","1號","5號","10號","20號","B","國軍薪餉發放日原則為每月5號。","國軍人員薪餉發放作業規定"
"聞國歌或升降旗歌聲時，應採取何種動作？","繼續行進","奔跑","原地立正致敬","蹲下","C","聞國歌或升降旗歌聲應就地立正致敬。","國軍內部管理實務"
"用餐時，碗筷使用之正確姿勢為何？","以碗就口","以口就碗","邊吃邊聊","敲碗","A","軍中用餐要求腰桿挺直，以碗就口。","新兵生活管理實務"
"新兵入伍訓練之核心目標不包含下列何者？","由民轉兵","培養服從","鍛鍊體魄","投資理財","D","入伍訓練旨在培養軍人儀態、服從性與基本戰技。","新兵入伍訓練實施計畫"
"入營報到時必須攜帶之身分證明文件正本為何？","健保卡","身分證","駕照","護照","B","國民身分證為必備證件。","役男入營報到須知"
"飲水紀錄卡之主要用途為何？","應付檢查","紀錄心情","預防中暑","紀錄熱量","C","透過強制紀錄飲水量，確保役男水分攝取充足，預防中暑。","國軍中暑防治作業手冊"
"若有飲食禁忌（如吃素），應於何時提出？","入營當天","結訓前","退伍後","不准提","A","入營當天幹部會統計飲食需求，應立即回報。","國軍伙食管理作業規定"
"營區內吸菸之規定為何？","寢室內","廁所內","指定吸菸區","隨地皆可","C","營區全面禁菸，僅限於指定吸菸區與規定時間吸菸。","菸害防制法軍中實施細則"
"單兵戰鬥教練中，塗抹偽裝膏之目的為何？","防曬","破壞臉部輪廓與反光","保養","嚇阻","B","利用深淺色澤破壞臉部輪廓並降低反光，增加隱蔽效果。","單兵戰鬥教練手冊"
"值星班長下達「及格起立」口令時，不及格者應如何？","起立","坐下不動","抗議","離開","B","口令僅針對及格者，其餘人員維持原姿勢。","基本教練與口令規範"
"S腰帶主要功能為何？","裝飾","掛載水壺與裝備","當繩子","防彈","B","S腰帶用於掛載水壺、彈匣袋、刺刀等個人裝備。","個人裝備使用規範"
"手榴彈投擲訓練之最高原則為何？","距離","姿勢","安全","聲量","C","實彈投擲具危險性，首重安全。","手榴彈投擲安全規定"
"在中山室內禁止何種行為？","寫大兵日記","閉目養神","喧嘩與走動","擦槍","C","中山室視同教室，應保持肅靜。","新兵生活管理實務"
"每週四下午通常為何種課程？","採買","莒光日電視教學","睡覺","自由活動","B","週四下午固定為莒光園地電視教學時間。","政戰工作實務手冊"
"休假期間遇颱風發布警報，應如何處置？","繼續玩","關機","注意召回訊息","自行決定","C","遇天災國軍可能需救災，休假人員應保持聯繫並依令返營。","國軍災害防救作業規定"
"新訓結束後之「小選」主要依據為何？","體能","民間專長與證照","運氣","長相","B","小選係依役男持有之證照與專長進行甄選。","役男專長甄選作業規定"
"營區內禁止攝影之主要原因為何？","隱私","軍事機密安全","手機壽命","長官心情","B","防止洩漏兵力部署與裝備參數等機密。","國軍保密工作實務"
"對長官交辦任務無法準時完成時，應如何處理？","隱匿","提前回報","推卸","放棄","B","凡事應「提前回報」，尋求協助或調整，不可隱匿。","國軍內部管理實務"
"穿著操作服時，襪子應為何種樣式？","白色短襪","黑色長襪","花襪","隱形襪","B","依規定須穿著過踝之黑色長襪。","國軍服制規定"
"依據《陸海空軍刑法》，無故不服從長官命令者之刑責為何？","罰寫","警告","三年以下有期徒刑","禁足","C","抗命罪可處三年以下有期徒刑、拘役或罰金。","陸海空軍刑法"
"新鞋磨腳時，建議之處理方式？","貼透氣膠帶","丟掉","不穿","烤軟","A","穿著厚襪或在易磨擦處貼上透氣膠帶可預防起水泡。","新兵生活小撇步"
"內務櫃物品擺放原則為何？","隨意","定位定量","私物外露","不關門","B","內務櫃物品須依規定位置擺放，整齊劃一。","國軍內務教則"
"中暑防治中，尿液呈現何種顏色為危險警訊？","透明","淡黃","深黃或褐色","粉紅","C","深黃色代表脫水，需立即喝水。","國軍中暑防治作業手冊"
"營區內撿到不明USB隨身碟應如何處置？","插入電腦","帶回家","上繳幹部","丟棄","C","嚴禁插入軍網電腦，應上繳以資安程序處理。","國軍資通安全獎懲規定"
"新兵入伍第一週通常被稱為什麼週？","地獄週","調適教育週","天使週","戰鬥週","B","第一週為調適教育，協助新兵適應環境。","新兵入伍訓練計畫"
"行進間鞋帶鬆脫應如何處置？","蹲下","出列處理","跳著走","找鄰兵","B","須先舉手報告，出列至路旁處理，不可突然蹲下。","基本教練規範"
"打靶三不規定中，何者正確？","不準","不快","槍口不對人","不流汗","C","槍口絕對不可對人，是靶場最高安全紀律。","輕兵器射擊訓練手冊"
"大兵手記（日記）的主要功能為何？","作文練習","心理狀況了解","畫圖","記帳","B","幹部透過批改日記了解新兵心理狀態與問題。","政戰實務工作"
"營區發生地震時之避難動作為何？","尖叫","趴下、掩護、穩住","睡覺","打電話","B","地震避難標準程序：Drop, Cover, Hold on。","國軍災害防救作業手冊"
"聽到防空警報時應如何動作？","操課","疏散掩蔽","看天空","打卡","B","應立即配合演練疏散至掩蔽位置。","戰備規定"
"手榴彈投擲訓練時，若發生未爆彈情況，應如何處理？","立刻跑過去撿","丟石頭確認","保持安全距離，由未爆彈處理小組處置","用腳踢開","C","遇未爆彈嚴禁觸碰或移動，應立即封鎖現場並通報專業單位處理。","手榴彈投擲安全規定"
"新兵在營區內行進，遇到長官經過時，應採取何種禮節？","裝作沒看到","停止行進，面向長官敬禮問好","繼續走並揮手","立刻趴下","B","行進間遇長官應停止前進，面向長官行舉手禮並問好。","國軍內部管理實務"
"依據規定，操作服（迷彩服）的袖子在何種情況下需要捲起？","覺得熱的時候","依據季節與部隊統一規定","隨個人喜好","完全不能捲","B","通常配合夏令時間或氣溫，由單位主官統一律定是否捲袖。","國軍服裝穿著規定"
"軍中使用的 T91 步槍，其使用之彈藥口徑為多少？","5.56公厘","7.62公厘","9公厘","12.7公厘","A","國軍現役 T91 步槍與 M16/T65K2 皆使用 5.56mm 步槍彈。","輕兵器射擊訓練手冊"
"關於「中暑危險係數」的旗幟顏色，代表最危險（禁止戶外操課）的是哪種顏色？","黃旗","藍旗","紅旗","黑旗","C","紅旗代表危險係數過高（通常大於40），應停止戶外操課或強制休息。","國軍中暑防治作業手冊"
"新兵入伍期間，若需請喪假，必須檢附何種證明文件？","訃聞或死亡證明書","里長證明","口頭報告","戶口名簿","A","依請假規定，直系親屬過世需檢附訃聞或死亡證明方可核予喪假。","國軍人員請假規則"
"衛哨勤務中，若發現不明人士強行闖入營區，第一步應採取的行動為何？","開槍射擊","吹哨並大聲喝止「站住，口令，誰」","逃跑","打電話報警","B","衛哨用槍時機有嚴格程序，第一步應先喝止並詢問口令以辨識身分。","衛哨勤務教範"
"關於軍用防毒面具的清潔，下列何者錯誤？","面具本體可用清水沖洗","濾毒罐可以用水洗","需存放在陰涼處","頭帶可調整鬆緊","B","濾毒罐內部含有化學藥劑與活性碳，遇水會失效，嚴禁水洗。","核生化防護教範"
"若在操課中發生「槍枝故障」，第一動作應為何？","舉手報告「故障」","自行拆槍修理","把槍丟地上","轉身看班長","A","遇槍枝故障應槍口朝前，舉手大聲報告故障，等待幹部指示排除。","輕兵器射擊訓練手冊"
"國軍現行通用的心肺復甦術 (CPR) 按壓與吹氣比例為何？","15比2","30比2","5比1","持續按壓不吹氣","B","依據最新急救準則，成人CPR之按壓吹氣比為 30:2。","國軍緊急救護訓練手冊"
"在軍中「打飯班」的主要職責為何？","負責煮飯","負責將餐桶從伙房抬至連隊並分配菜色","負責洗全連的碗","負責採買食材","B","打飯班不負責煮飯，主要負責搬運餐桶、分菜以及餐後公桶的清潔。","新兵生活管理實務"
"新訓期間，頭髮通常多久會修剪一次？","每天","每兩週約一次","結訓才剪","不固定","B","為了維持儀容標準，新訓期間約每兩週會安排髮婆入營修剪一次頭髮。","國軍儀容規定"
"下列何種行為屬於「洩密」違規？","在營區內拍照並上傳臉書","用筆記本抄寫長官姓名","跟家人報平安","討論晚餐吃什麼","A","營區內照片涉及軍事設施與裝備，未經核准上傳社群媒體屬嚴重洩密。","國軍資通安全獎懲規定"
"關於「擦槍」時，槍管內部通常使用什麼工具清潔？","牙刷","通槍條與通槍布","衛生紙","棉花棒","B","清潔槍管內部需使用專用通槍條銜接通槍布（或銅刷）進行來回通拭。","輕兵器射擊訓練手冊"
"當值星官宣布「著整齊服裝」集合時，通常是指穿著什麼？","運動服","內衣褲","操作服（迷彩服）並紮S腰帶、戴小帽","便服","C","「整齊服裝」通常指全套迷彩服，包含S腰帶與小帽，且扣子需扣好。","國軍服裝穿著規定"
"軍人讀數（數字唸法）中，數字「1」與「2」分別唸作什麼？","壹、貳","幺、兩","一、二","甲、乙","B","為避免無線電通訊混淆，軍中數字 1 唸作「幺」，2 唸作「兩」，0 唸作「洞」。","通信作業程序"
"新兵寢室內掛蚊帳時，通常需要幾個人合作最有效率？","1人","2人以上","不需要掛","班長幫忙掛","B","蚊帳體積大且需綁繩，通常由兩人一組互相協助懸掛與整理最快。","內務教則"
"若發生「軍紀案件」（如酒駕、鬥毆），除了刑事責任外，還會面臨何種行政處分？","罰站","禁足","記過、悔過或撤職","罰寫悔過書","C","軍人酒駕或鬥毆視情節輕重，可處記大過、悔過（關禁閉）或撤職汰除。","陸海空軍懲罰法"
"在手榴彈投擲場，投擲完畢後需做什麼動作才能離開投擲區？","敬禮","大喊我丟完了","向後轉並小跑步離開","原地發呆","C","投擲完畢確認安全後，應聽從指揮官口令向後轉，小跑步迅速離開投擲區。","手榴彈投擲訓練手冊"
"下列關於「刺刀」配掛的位置，何者正確？","左腰側","右腰側","背後","胸前","A","依據單兵個人裝備攜行規定，刺刀通常掛於 S 腰帶之左腰側（方便右手拔刀）。","個人裝備使用規範"
"行軍訓練中，水壺通常應裝滿何種液體？","白開水","運動飲料","果汁","汽水","A","為確保水分補充與衛生，水壺原則上僅能裝填白開水。","國軍中暑防治作業手冊"
"若在營區內發現火災，滅火器的操作口訣為何？","沖脫泡蓋送","拉拉壓","拉瞄壓掃","叫叫ABC","C","滅火器操作口訣：拉（插梢）、瞄（火源）、壓（握把）、掃（向火源根部左右掃射）。","消防安全教育手冊"
